Raw or SAHI,Confidence,Sahi Slice Ratio,Class,Success Rate,Sahi Raw Input
raw,0.0,0,car,0.867176339618611,2
raw,0.01,0,car,0.867176339618611,2
raw,0.02,0,car,0.8783724901707162,2
raw,0.03,0,car,0.8833470436172821,2
raw,0.04,0,car,0.8858679990593947,2
raw,0.05,0,car,0.8883259306154544,2
raw,0.06,0,car,0.8897514431959842,2
raw,0.07,0,car,0.8909488970309877,2
raw,0.08,0,car,0.892209374752044,2
raw,0.09,0,car,0.8932807808149418,2
raw,0.1,0,car,0.8939110196754699,2
raw,0.11,0,car,0.8948563779662622,2
raw,0.12,0,car,0.8949009594396523,2
raw,0.13,0,car,0.8953421266420221,2
raw,0.14,0,car,0.8956901270844594,2
raw,0.15,0,car,0.8958688343025693,2
raw,0.16,0,car,0.8961209298467805,2
raw,0.17,0,car,0.8963056600960969,2
raw,0.18,0,car,0.8964947317542553,2
raw,0.19,0,car,0.8966838034124138,2
raw,0.2,0,car,0.8968098511845194,2
raw,0.21,0,car,0.8973140422729419,2
raw,0.22,0,car,0.8975661378171532,2
raw,0.23,0,car,0.8980703289055757,2
raw,0.24,0,car,0.8982491078328992,2
raw,0.25,0,car,0.8981632920956498,2
raw,0.26,0,car,0.8983523637538082,2
raw,0.27,0,car,0.8985414354119667,2
raw,0.28,0,car,0.8985414354119667,2
raw,0.29,0,car,0.8987305070701251,2
raw,0.3,0,car,0.898793530956178,2
raw,0.31,0,car,0.8991716742724949,2
raw,0.32,0,car,0.8990468521870643,2
raw,0.33,0,car,0.899272828354935,2
raw,0.34,0,car,0.8994619000130936,2
raw,0.35,0,car,0.8997139955573048,2
raw,0.36,0,car,0.899966091101516,2
raw,0.37,0,car,0.8999408896077998,2
raw,0.38,0,car,0.8999833329047932,2
raw,0.39,0,car,0.9000642598665066,2
raw,0.4,0,car,0.9006314748409819,2
raw,0.41,0,car,0.9008835703851932,2
raw,0.42,0,car,0.9013877614736157,2
raw,0.43,0,car,0.9017659047899326,2
raw,0.44,0,car,0.9018087356123028,2
raw,0.45,0,car,0.9018011011242708,2
raw,0.46,0,car,0.9019271488963765,2
raw,0.47,0,car,0.901863480443349,2
raw,0.48,0,car,0.9020525521015074,2
raw,0.49,0,car,0.902178599873613,2
raw,0.5,0,car,0.901916843168026,2
raw,0.51,0,car,0.9018314287835075,2
raw,0.52,0,car,0.9013341503351656,2
raw,0.53,0,car,0.9009485439396842,2
raw,0.54,0,car,0.9010144185973863,2
raw,0.55,0,car,0.9007458278663448,2
raw,0.56,0,car,0.900568308206475,2
raw,0.57,0,car,0.9004083938038239,2
raw,0.58,0,car,0.9003254768817273,2
raw,0.59,0,car,0.9002174956459987,2
raw,0.6,0,car,0.8998541187762578,2
raw,0.61,0,car,0.8998977120255394,2
raw,0.62,0,car,0.8990990649724775,2
raw,0.63,0,car,0.8988119342932649,2
raw,0.64,0,car,0.8982788932472525,2
raw,0.65,0,car,0.897506989309324,2
raw,0.66,0,car,0.8973629700511363,2
raw,0.67,0,car,0.8969608765361902,2
raw,0.68,0,car,0.8969255296351027,2
raw,0.69,0,car,0.896654385806588,2
raw,0.7,0,car,0.8961196781167755,2
raw,0.71,0,car,0.8952705152551218,2
raw,0.72,0,car,0.8942575044966167,2
raw,0.73,0,car,0.893249471751377,2
raw,0.74,0,car,0.8914023991719322,2
raw,0.75,0,car,0.8897636575557517,2
raw,0.76,0,car,0.8877934260124053,2
raw,0.77,0,car,0.8858977271225056,2
raw,0.78,0,car,0.8829482285687194,2
raw,0.79,0,car,0.8806629750771746,2
raw,0.8,0,car,0.8792173180505866,2
raw,0.81,0,car,0.8784438927240928,2
raw,0.82,0,car,0.8758445132351347,2
raw,0.83,0,car,0.872725814074815,2
raw,0.84,0,car,0.8695679407146337,2
raw,0.85,0,car,0.8650120691986086,2
raw,0.86,0,car,0.8591276136786529,2
raw,0.87,0,car,0.8518096330291178,2
raw,0.88,0,car,0.8445816239134236,2
raw,0.89,0,car,0.8364050489652095,2
raw,0.9,0,car,0.8254377951126542,2
raw,0.91,0,car,0.8080730661699089,2
raw,0.92,0,car,0.7800898553196389,2
raw,0.93,0,car,0.7433187288985481,2
raw,0.94,0,car,0.6825610966930329,2
raw,0.95,0,car,0.543475055972452,2
raw,0.96,0,car,0.1684557688806266,2
raw,0.97,0,car,0.010872436766611053,2
raw,0.98,0,car,0.0,2
raw,0.99,0,car,0.0,2
raw,0.0,0,kam,0.7803633369514366,2
raw,0.01,0,kam,0.7803633369514366,2
raw,0.02,0,kam,0.7906197472078467,2
raw,0.03,0,kam,0.7957479523360516,2
raw,0.04,0,kam,0.797213153801253,2
raw,0.05,0,kam,0.8016087581968575,2
raw,0.06,0,kam,0.8038065603946597,2
raw,0.07,0,kam,0.8082021647902639,2
raw,0.08,0,kam,0.8089347655228646,2
raw,0.09,0,kam,0.8111325677206668,2
raw,0.1,0,kam,0.8118651684532675,2
raw,0.11,0,kam,0.8101970294399109,2
raw,0.12,0,kam,0.8123948316377131,2
raw,0.13,0,kam,0.8118789808590416,2
raw,0.14,0,kam,0.8140767830568438,2
raw,0.15,0,kam,0.8155419845220454,2
raw,0.16,0,kam,0.819204988185049,2
raw,0.17,0,kam,0.8199375889176498,2
raw,0.18,0,kam,0.8206701896502505,2
raw,0.19,0,kam,0.822135391115452,2
raw,0.2,0,kam,0.8228679918480527,2
raw,0.21,0,kam,0.8228679918480527,2
raw,0.22,0,kam,0.8228679918480527,2
raw,0.23,0,kam,0.8236005925806534,2
raw,0.24,0,kam,0.8236005925806534,2
raw,0.25,0,kam,0.8243331933132542,2
raw,0.26,0,kam,0.8272635962436572,2
raw,0.27,0,kam,0.8272635962436572,2
raw,0.28,0,kam,0.8272635962436572,2
raw,0.29,0,kam,0.8272635962436572,2
raw,0.3,0,kam,0.8272635962436572,2
raw,0.31,0,kam,0.8272635962436572,2
raw,0.32,0,kam,0.8279961969762579,2
raw,0.33,0,kam,0.8279961969762579,2
raw,0.34,0,kam,0.8279961969762579,2
raw,0.35,0,kam,0.8276622893531425,2
raw,0.36,0,kam,0.8276622893531425,2
raw,0.37,0,kam,0.8276622893531425,2
raw,0.38,0,kam,0.8276622893531425,2
raw,0.39,0,kam,0.8259305040875239,2
raw,0.4,0,kam,0.8259305040875239,2
raw,0.41,0,kam,0.8273957055527256,2
raw,0.42,0,kam,0.8273957055527256,2
raw,0.43,0,kam,0.8281283062853263,2
raw,0.44,0,kam,0.8263795687945279,2
raw,0.45,0,kam,0.8271121695271286,2
raw,0.46,0,kam,0.8271121695271286,2
raw,0.47,0,kam,0.8278447702597294,2
raw,0.48,0,kam,0.825772028140295,2
raw,0.49,0,kam,0.825772028140295,2
raw,0.5,0,kam,0.825772028140295,2
raw,0.51,0,kam,0.8265046288728958,2
raw,0.52,0,kam,0.8272372296054965,2
raw,0.53,0,kam,0.8272372296054965,2
raw,0.54,0,kam,0.8287024310706982,2
raw,0.55,0,kam,0.8294350318032989,2
raw,0.56,0,kam,0.8287702331900502,2
raw,0.57,0,kam,0.8287702331900502,2
raw,0.58,0,kam,0.8287702331900502,2
raw,0.59,0,kam,0.8295028339226509,2
raw,0.6,0,kam,0.8302354346552518,2
raw,0.61,0,kam,0.8282239174272056,2
raw,0.62,0,kam,0.8262185481046671,2
raw,0.63,0,kam,0.8262185481046671,2
raw,0.64,0,kam,0.8162301317338913,2
raw,0.65,0,kam,0.8157044569883678,2
raw,0.66,0,kam,0.8124461933817829,2
raw,0.67,0,kam,0.8134491932290916,2
raw,0.68,0,kam,0.8141817939616923,2
raw,0.69,0,kam,0.8110116933795104,2
raw,0.7,0,kam,0.804232120620203,2
raw,0.71,0,kam,0.7970583958788438,2
raw,0.72,0,kam,0.7917615544540533,2
raw,0.73,0,kam,0.7921113901129037,2
raw,0.74,0,kam,0.7887971899719082,2
raw,0.75,0,kam,0.7860170742525668,2
raw,0.76,0,kam,0.7780107217820805,2
raw,0.77,0,kam,0.7739110170756194,2
raw,0.78,0,kam,0.7699201653848249,2
raw,0.79,0,kam,0.7596341040563164,2
raw,0.8,0,kam,0.7536468905845138,2
raw,0.81,0,kam,0.7478672608413597,2
raw,0.82,0,kam,0.7453048551106959,2
raw,0.83,0,kam,0.7407532463555678,2
raw,0.84,0,kam,0.7347845763717895,2
raw,0.85,0,kam,0.7203368182099761,2
raw,0.86,0,kam,0.7122697687667954,2
raw,0.87,0,kam,0.6978860760832509,2
raw,0.88,0,kam,0.6853517212778343,2
raw,0.89,0,kam,0.6659500256459377,2
raw,0.9,0,kam,0.6373468338676564,2
raw,0.91,0,kam,0.5822204004375814,2
raw,0.92,0,kam,0.4781013283618425,2
raw,0.93,0,kam,0.3309066913319936,2
raw,0.94,0,kam,0.1711144110630922,2
raw,0.95,0,kam,0.05907936432957554,2
raw,0.96,0,kam,0.006332260655855691,2
raw,0.97,0,kam,0.0,2
raw,0.98,0,kam,0.0,2
raw,0.99,0,kam,0.0,2
raw,0.0,0,ismak,0.4037813529981887,2
raw,0.01,0,ismak,0.4037813529981887,2
raw,0.02,0,ismak,0.4704480196648554,2
raw,0.03,0,ismak,0.5037813529981888,2
raw,0.04,0,ismak,0.5037813529981888,2
raw,0.05,0,ismak,0.5037813529981888,2
raw,0.06,0,ismak,0.5037813529981888,2
raw,0.07,0,ismak,0.5037813529981888,2
raw,0.08,0,ismak,0.5037813529981888,2
raw,0.09,0,ismak,0.5037813529981888,2
raw,0.1,0,ismak,0.5037813529981888,2
raw,0.11,0,ismak,0.5037813529981888,2
raw,0.12,0,ismak,0.5037813529981888,2
raw,0.13,0,ismak,0.5037813529981888,2
raw,0.14,0,ismak,0.5037813529981888,2
raw,0.15,0,ismak,0.5037813529981888,2
raw,0.16,0,ismak,0.5037813529981888,2
raw,0.17,0,ismak,0.5037813529981888,2
raw,0.18,0,ismak,0.5371146863315222,2
raw,0.19,0,ismak,0.5371146863315222,2
raw,0.2,0,ismak,0.5704480196648555,2
raw,0.21,0,ismak,0.5704480196648555,2
raw,0.22,0,ismak,0.5704480196648555,2
raw,0.23,0,ismak,0.6037813529981888,2
raw,0.24,0,ismak,0.6037813529981888,2
raw,0.25,0,ismak,0.6037813529981888,2
raw,0.26,0,ismak,0.6037813529981888,2
raw,0.27,0,ismak,0.6037813529981888,2
raw,0.28,0,ismak,0.6037813529981888,2
raw,0.29,0,ismak,0.6037813529981888,2
raw,0.3,0,ismak,0.6037813529981888,2
raw,0.31,0,ismak,0.6037813529981888,2
raw,0.32,0,ismak,0.6037813529981888,2
raw,0.33,0,ismak,0.6037813529981888,2
raw,0.34,0,ismak,0.6037813529981888,2
raw,0.35,0,ismak,0.6037813529981888,2
raw,0.36,0,ismak,0.6037813529981888,2
raw,0.37,0,ismak,0.6037813529981888,2
raw,0.38,0,ismak,0.6037813529981888,2
raw,0.39,0,ismak,0.6037813529981888,2
raw,0.4,0,ismak,0.6037813529981888,2
raw,0.41,0,ismak,0.6037813529981888,2
raw,0.42,0,ismak,0.6037813529981888,2
raw,0.43,0,ismak,0.6037813529981888,2
raw,0.44,0,ismak,0.6037813529981888,2
raw,0.45,0,ismak,0.6037813529981888,2
raw,0.46,0,ismak,0.6037813529981888,2
raw,0.47,0,ismak,0.6037813529981888,2
raw,0.48,0,ismak,0.6037813529981888,2
raw,0.49,0,ismak,0.6037813529981888,2
raw,0.5,0,ismak,0.6037813529981888,2
raw,0.51,0,ismak,0.6037813529981888,2
raw,0.52,0,ismak,0.6037813529981888,2
raw,0.53,0,ismak,0.6037813529981888,2
raw,0.54,0,ismak,0.6037813529981888,2
raw,0.55,0,ismak,0.6037813529981888,2
raw,0.56,0,ismak,0.6037813529981888,2
raw,0.57,0,ismak,0.6037813529981888,2
raw,0.58,0,ismak,0.6704480196648555,2
raw,0.59,0,ismak,0.7037813529981888,2
raw,0.6,0,ismak,0.7037813529981888,2
raw,0.61,0,ismak,0.7037813529981888,2
raw,0.62,0,ismak,0.7037813529981888,2
raw,0.63,0,ismak,0.6380509676202694,2
raw,0.64,0,ismak,0.6713843009536027,2
raw,0.65,0,ismak,0.6713843009536027,2
raw,0.66,0,ismak,0.704717634286936,2
raw,0.67,0,ismak,0.704717634286936,2
raw,0.68,0,ismak,0.704717634286936,2
raw,0.69,0,ismak,0.704717634286936,2
raw,0.7,0,ismak,0.704717634286936,2
raw,0.71,0,ismak,0.704717634286936,2
raw,0.72,0,ismak,0.704717634286936,2
raw,0.73,0,ismak,0.704717634286936,2
raw,0.74,0,ismak,0.704717634286936,2
raw,0.75,0,ismak,0.704717634286936,2
raw,0.76,0,ismak,0.6241015113691825,2
raw,0.77,0,ismak,0.526488831641313,2
raw,0.78,0,ismak,0.526488831641313,2
raw,0.79,0,ismak,0.5598221649746463,2
raw,0.8,0,ismak,0.3822726872535142,2
raw,0.81,0,ismak,0.3822726872535142,2
raw,0.82,0,ismak,0.4156060205868474,2
raw,0.83,0,ismak,0.3230021006408273,2
raw,0.84,0,ismak,0.3230021006408273,2
raw,0.85,0,ismak,0.3563354339741606,2
raw,0.86,0,ismak,0.26609654202482846,2
raw,0.87,0,ismak,0.18200746255052896,2
raw,0.88,0,ismak,0.0,2
raw,0.89,0,ismak,0.0,2
raw,0.9,0,ismak,0.0,2
raw,0.91,0,ismak,0.0,2
raw,0.92,0,ismak,0.0,2
raw,0.93,0,ismak,0.0,2
raw,0.94,0,ismak,0.0,2
raw,0.95,0,ismak,0.0,2
raw,0.96,0,ismak,0.0,2
raw,0.97,0,ismak,0.0,2
raw,0.98,0,ismak,0.0,2
raw,0.99,0,ismak,0.0,2
raw,0.0,0,mot,0.5931566194892612,2
raw,0.01,0,mot,0.5931566194892612,2
raw,0.02,0,mot,0.632372305763771,2
raw,0.03,0,mot,0.6421762273323987,2
raw,0.04,0,mot,0.6421762273323987,2
raw,0.05,0,mot,0.6666860312539672,2
raw,0.06,0,mot,0.6715879920382809,2
raw,0.07,0,mot,0.6715879920382809,2
raw,0.08,0,mot,0.6715879920382809,2
raw,0.09,0,mot,0.6715879920382809,2
raw,0.1,0,mot,0.6715879920382809,2
raw,0.11,0,mot,0.6764899528225946,2
raw,0.12,0,mot,0.6764899528225946,2
raw,0.13,0,mot,0.6813919136069084,2
raw,0.14,0,mot,0.6813919136069084,2
raw,0.15,0,mot,0.6862938743912221,2
raw,0.16,0,mot,0.6960977959598497,2
raw,0.17,0,mot,0.6960977959598497,2
raw,0.18,0,mot,0.7009997567441635,2
raw,0.19,0,mot,0.7009997567441635,2
raw,0.2,0,mot,0.7009997567441635,2
raw,0.21,0,mot,0.7009997567441635,2
raw,0.22,0,mot,0.7009997567441635,2
raw,0.23,0,mot,0.7009997567441635,2
raw,0.24,0,mot,0.7009997567441635,2
raw,0.25,0,mot,0.7009997567441635,2
raw,0.26,0,mot,0.7009997567441635,2
raw,0.27,0,mot,0.7059017175284772,2
raw,0.28,0,mot,0.7059017175284772,2
raw,0.29,0,mot,0.7059017175284772,2
raw,0.3,0,mot,0.7059017175284772,2
raw,0.31,0,mot,0.7059017175284772,2
raw,0.32,0,mot,0.7059017175284772,2
raw,0.33,0,mot,0.6949665603433225,2
raw,0.34,0,mot,0.6949665603433225,2
raw,0.35,0,mot,0.6998685211276362,2
raw,0.36,0,mot,0.6998685211276362,2
raw,0.37,0,mot,0.6998685211276362,2
raw,0.38,0,mot,0.7096724426962638,2
raw,0.39,0,mot,0.7096724426962638,2
raw,0.4,0,mot,0.7145744034805775,2
raw,0.41,0,mot,0.7145744034805775,2
raw,0.42,0,mot,0.7145744034805775,2
raw,0.43,0,mot,0.7145744034805775,2
raw,0.44,0,mot,0.7145744034805775,2
raw,0.45,0,mot,0.7194763642648911,2
raw,0.46,0,mot,0.7243783250492049,2
raw,0.47,0,mot,0.7243783250492049,2
raw,0.48,0,mot,0.7243783250492049,2
raw,0.49,0,mot,0.7243783250492049,2
raw,0.5,0,mot,0.7243783250492049,2
raw,0.51,0,mot,0.7151785920813533,2
raw,0.52,0,mot,0.7109473172207678,2
raw,0.53,0,mot,0.7109473172207678,2
raw,0.54,0,mot,0.7109473172207678,2
raw,0.55,0,mot,0.7109473172207678,2
raw,0.56,0,mot,0.7109473172207678,2
raw,0.57,0,mot,0.7158492780050816,2
raw,0.58,0,mot,0.705291469320749,2
raw,0.59,0,mot,0.7101934301050628,2
raw,0.6,0,mot,0.7101934301050628,2
raw,0.61,0,mot,0.7101934301050628,2
raw,0.62,0,mot,0.7101934301050628,2
raw,0.63,0,mot,0.7101934301050628,2
raw,0.64,0,mot,0.7101934301050628,2
raw,0.65,0,mot,0.7101934301050628,2
raw,0.66,0,mot,0.6881975178054793,2
raw,0.67,0,mot,0.693099478589793,2
